mention_id,nn_out
133440,0.0170871
133448,0.699745
140711,0.073792
157821,0.966952
185625,0.882714
185630,0.280141
185645,0.841366
185650,0.990915
185653,0.989308
278857,0.0163115
291861,0.195121
396319,0.941879
396332,0.476114
523149,0.0520615
529032,0.614112
568170,0.994961
663356,0.026898
753355,0.949568
842794,0.0437905
846689,0.679297
866559,0.900993
866564,0.243251
897053,0.0274919
897058,0.00190834
924745,0.752327
924749,0.276696
980091,0.222004
980095,0.499217
1040707,0.0540796
1118301,0.808802
1118305,0.145513
1129941,0.783573
1254118,0.0258683
1298743,0.945856
1391328,0.0109409
1399170,0.010808
1459022,0.000899625
1483466,0.00168934
1483482,0.000504522
1561365,0.608814
1561367,0.159113
1632344,0.194002
1724047,0.00362631
1724051,0.0866926
1799820,0.334456
1826827,0.0301415
1826832,0.223912
1826836,0.919654
1831687,0.334251
1831688,0.00487834
2219955,0.0916164
2291574,0.255388
2389810,0.437602
2422439,0.690617
2429690,0.914025
2431570,0.717298
2568127,0.00895812
2822560,0.543903
3174132,0.500802
3320584,0.732798
3345164,0.605787
3519127,0.797029
3710796,0.335704
3721398,0.130213
3722952,0.667391
3730646,0.130792
3734522,0.107496
3736206,0.812012
3753673,0.0216873
3776607,0.0121752
3802598,0.256859
3807244,0.217375
3807246,0.323391
3807248,0.432257
3808072,0.643225
3808074,0.00979166
3811422,0.013232
3811423,0.287217
3811426,0.218321
3811427,0.125724
3811428,0.324325
3811431,0.0445706
3819804,0.691728
3819807,0.882757
3820217,0.0161182
3820683,0.203554
3835713,0.90032
3835759,0.0629163
3836330,0.96781
3836333,0.894107
3836346,0.031485
3837583,0.692383
3837723,0.229093
3838945,0.29603
3840230,0.577247
3843368,0.0257046
3859854,0.657982
3860516,0.933276
3861264,0.0143737
3862196,0.950562
3863202,0.733984
3863203,0.602305
3863206,0.938528
3871266,0.00544963
3874073,0.968789
3879224,0.990292
3880152,0.474046
3880156,0.233416
3880578,0.662293
3881697,0.54842
3881817,0.964344
3882658,0.221696
3882660,0.378962
3882661,0.61179
3882662,0.351451
3882663,0.246636
3889788,0.858614
3890080,0.30904
3894044,0.410862
3896308,0.933276
3900057,0.933276
3901551,0.0267035
3901782,0.909736
3904930,0.0866131
3906788,0.996095
3911418,0.213487
3915198,0.833353
3915398,0.100957
3916903,0.812964
3922768,0.00150025
3923979,0.0501736
3924826,0.923115
3924839,0.00326663
3925855,0.933276
3925940,0.00661401
3927779,0.601062
3928528,0.843786
3931548,0.0789191
3932988,0.176577
3933242,0.978641
3934882,0.039371
3935542,0.951956
3937057,0.0480528
3937766,0.0487923
3937768,0.46825
3942971,0.234003
3942975,0.0233169
3943701,0.933276
3943702,0.51035
3946309,0.211466
3948840,0.570643
3952542,0.215194
3954793,0.432978
3955411,0.144788
3957719,0.693696
3960215,0.181191
3960372,0.42862
3960706,0.491767
3960718,0.373118
3961336,0.171704
3965356,0.65659
3967049,0.430541
3967258,0.538944
3968125,0.977862
3971695,0.994344
3974737,0.563593
3985467,0.132648
3985770,0.799002
3988936,0.933276
3990214,0.992442
3990634,0.0579189
3991108,0.874642
4036073,0.180986
4039059,0.768794
4046042,0.606525
4052500,0.863669
4054819,0.95449
4056242,0.951123
4056284,0.202899
4058712,0.000403155
4058809,0.874309
4059868,0.376232
4059871,0.0543092
4059898,0.0541738
4059916,0.0139393
4060619,0.340209
4062729,0.569903
4064079,0.906824
4065566,0.893695
4065567,0.999317
4065570,0.442652
4066696,0.976602
4067649,0.864985
4076374,0.759248
4076826,0.0769284
4084119,0.454253
4360115,0.722981
4369153,0.589267
4383365,0.777786
4385876,0.933276
4391694,0.444181
4404421,0.861099
4405142,0.0220695
4421285,0.768645
4429866,0.0500865
4430594,0.913861
4431002,0.0343233
4433590,0.0264101
4436282,0.0763902
4436954,0.991044
4441259,0.0663637
4442663,0.998491
4444795,0.00259418
4447277,0.47128
4451289,0.959737
4454841,0.160292
4455102,0.81611
4455179,0.933276
4458178,0.989359
4481739,0.00040662
4485051,0.90452
4485052,0.0489514
4485886,0.207528
4499200,0.650266
4508495,0.997359
4509237,0.393505
4509242,0.395566
4513937,0.0211949
4531296,0.358744
4543884,0.201005
4570914,0.000394665
4582230,0.991442
4583004,0.295727
4585969,0.801744
4588757,0.0348228
4588758,0.922634
4589197,0.267391
4614658,0.000473122
4614665,0.000406379
4614686,0.000313645
4614691,0.000573764
4614693,0.000642231
4614699,0.00029715
4614702,0.00051206
4624709,0.958019
32047,0.0158301
133443,0.738128
135647,0.0356334
135673,0.662588
135678,0.101245
140706,0.631383
185634,0.00419688
400294,0.970158
506305,0.565932
523147,0.0110127
529050,0.383438
663354,0.939159
728396,0.25713
742957,0.0139611
742978,0.0138731
840221,0.0699637
842781,0.531495
842793,0.115657
846691,0.012485
897047,0.565932
897066,0.00100308
924730,0.116051
924759,0.0421606
1068247,0.0091547
1118310,0.0347489
1118313,0.818125
1373696,0.824281
1391310,0.00984561
1391331,0.00159317
1428112,0.000962823
1459012,0.0206615
1483437,0.00667943
1483447,0.00345968
1483457,0.00753706
1483469,0.0049379
1522657,0.00780384
1632324,0.0123306
1632330,0.000288208
1711833,0.0382655
1826819,0.699702
1826824,0.0556344
1831690,0.374993
1924627,0.0135397
1924640,0.00107428
1936084,0.404772
2164244,0.825303
2219948,0.0683545
2322010,0.000504665
2322013,0.00604129
2448338,0.887
2725862,0.014213
2822551,0.19443
2822559,0.0229791
2875173,0.0156359
3271352,0.0325836
3383931,0.742297
3466436,0.00866505
3476049,0.00394281
3722953,0.271669
3725825,0.0745914
3740119,0.839079
3742231,0.458509
3753676,0.565932
3772795,0.18393
3775442,0.00726236
3776793,0.00391875
3783332,0.565932
3789835,0.010385
3790524,0.560045
3802804,0.00771553
3807245,0.0124928
3807314,0.596617
3808259,0.000995873
3810567,0.0700678
3815653,0.219227
3818985,0.00145694
3819805,0.00968355
3820665,0.565932
3836337,0.00869398
3836345,0.00164367
3836351,0.000851584
3836352,0.566162
3836373,0.0508689
3840225,0.973165
3843367,0.920142
3844121,0.91037
3844124,0.279435
3851806,0.013938
3851807,0.121666
3851884,0.0362278
3851885,0.216877
3852232,0.658386
3852985,0.00582312
3858302,0.915384
3859768,0.365358
3860501,0.549208
3860502,0.0283361
3860517,0.187068
3861541,0.153595
3865360,0.973369
3869747,0.0272023
3873927,0.0574278
3874097,0.565932
3878952,0.0174847
3879225,0.0220185
3879788,0.00182482
3880155,0.358791
3880365,0.993391
3881425,0.197693
3881692,0.435879
3881693,0.0790982
3882654,0.218338
3882655,0.0571962
3882664,0.186271
3882666,0.410938
3882668,0.302819
3885218,0.0200966
3887439,0.750969
3887442,0.00904646
3889743,0.0366029
3889744,0.0326329
3890078,0.995686
3891412,0.565932
3894817,0.968152
3895758,0.565932
3895762,0.00549205
3895923,0.565932
3896703,0.235819
3900177,0.046087
3901783,0.75595
3911670,0.308654
3921745,0.99641
3924710,0.000407349
3925779,0.023175
3925856,0.175312
3926236,0.240924
3931464,0.565932
3932987,0.243241
3934320,0.0334061
3935541,0.113879
3937056,0.000326505
3937477,0.0240202
3943704,0.00487392
3944683,0.40861
3944686,0.0519338
3946602,0.524934
